Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,29,0.6139,0,419,2.63
Vd9L2_y30Wk,Faze Santana watching me slam a top 250,"May 27, 2024",29,9,0.0334,0,100,2
 -jBLlV16Dko,Im Beating this Baby!Black Myth Wukong Livestream!,"Aug 30, 2024",9855,2,0.1586,0,0,
FRYGGQXMgUA,"Get Better Aim In Call Of Duty! Kovaac Aim Trainer, Controller Only Setup!","Apr 29, 2020",281,2,0.0345,0,8,25
uo9ebc2NSYQ,Meeting up with huskers on verdansk,"Oct 15, 2021",28,2,0.0078,,48,0
xoshx1O6Vp8,Why I put ttv in my name,"Feb 25, 2022",11,2,0.004,0,27,7.41
1b8n9-5HAA0,Cheating ATV,"Jan 25, 2022",21,1,0.0023,0,2,50
IeTk6TCNPeg,Breakdown! Modern Warefare Montage,"Jul 20, 2020",148,1,0.0375,0,1,100
NIjVKGxe-tE,The Tech job Market: How I did It,,457,1,0.0903,0,0,
NzGyjgkXHOg,Mob Ties! Modern Warfare Montage!,"Sep 16, 2020",109,1,0.0092,0,1,100
RVEPlaJCPuM,Surviving BJJ Practice,,588,1,0.1436,0,0,
XA3ORVYnGkA,Weight On Me! Modern Warfare Montage,"Oct 26, 2020",147,1,0.0188,0,19,0
ZHsl3y5-OwA,ranked kinda light rn #rebirthisland #callofduty,"Sep 29, 2024",48,1,0.0052,0,1,0
adHw19he9tk,UCLA! Modern Warfare Montage,"Sep 30, 2020",183,1,0.0245,0,2,0
c--D_oG-EHQ,My Last Modern Warfare Montage! ( Mas Devour),"Nov 12, 2020",222,1,0.0088,0,0,
gnRTNQjdFbw,Stop Dead Sliding! Call Of Duty Warzone!,"Jan 11, 2022",203,1,0.0333,0,5,20
milyCHTCWZI,QuickFix is A Top Tier Perk!,"May 15, 2022",13,1,0.0002,0,0,
r8T-3iX_VDs,How to Know Of Your In A Bot Lobbys #SHORTS,"Nov 28, 2021",18,1,0.0021,0,6,16.67
GXuYIMIPKlw,The Owen Gun Is Meta,"Apr 12, 2022",27,0,0,0,0,
VF1Z7cCZxLg,Flying On Rebirth Island,"Sep 28, 2022",15,0,0,0,4,0
wjUlWOPX1iw,This is the ANGRIEST person ever!,"Mar 9, 2022",16,0,0,0,50,0
0HoXaDenqmI,How to break somebody's camera in Call Of Duty Warzone!,"Dec 13, 2021",595,,,,2,0
0TH3MeOnfHc,We're Starting to get there! Dragonball Sparking Zero Bot To Pro!,"Oct 27, 2024",488,,,,1,0
1vW8KrSFSP4,You dont need an IT degree for an IT job,"Mar 11, 2025",820,,,,7,0
2iEftg-MtmM,We CHOKED so BAD! Call Of Duty WARZONE,"Mar 24, 2021",733,,,,1,0
42QLtb0uQ9M,If Your Getting Out Of The Military Watch This Video,"Feb 22, 2025",972,,,,1,0
4ZURl0DirhQ,No Rebirth Island So Area 99 It Is!,"Nov 19, 2024",703,,,,2,0
5hQ4XLcb9SA,College is NOT a scam,"Apr 9, 2025",530,,,,12,0
8ChhK_MdiLM,He needs an escort,"Jan 29, 2022",26,,,,1,0
8npGlVs5yaw,META Kastov 762 Class Setup🔥,"Jun 7, 2024",1428,,,,1,0
8pb6EBC4hrs,Rebirth Island Is Back And Its WORSE than EVER!,"Nov 27, 2024",719,,,,1,0
933KF5_9gmA,The biggest A*** on Warzone #SHORTS,"Jul 9, 2021",41,,,,1,0
AOc1LxHWFH0,Best Game Coming Out,"Apr 30, 2023",16,,,,1,0
BMkMI0qJ1Fo,The Only Reason The Navy Is The Best Branch,"Jun 4, 2025",626,,,,9,0
Dh0QpciNz2M,I Know The Sauce Now!🍯 Bot To Pro DragonBall Sparking Zero Ranked Play!,"Oct 22, 2024",813,,,,3,0
Di2HjSCwiyk,ACR is killing it,"May 1, 2023",31,,,,5,0
FbPJgV7UIMk,He only has 2 Lives left,"Oct 18, 2022",10,,,,1,0
H27zuIW0vFk,Im Having Fun,"Dec 20, 2022",30,,,,3,0
HX07z-dNZ9s,Old Paranoia Edit,"Jan 8, 2025",97,,,,2,0
HpXXY-pTG2c,Running through em  #warzone #callofduty #warzoneedit,"Mar 25, 2024",14,,,,1,0
ITkBYxvD1DM,Whats Its like Going To College After The Military,"Jun 11, 2025",532,,,,8,0
Ii-cfIncbrs,How to Play CLAW! Call of Duty Warzone!,"Sep 24, 2021",257,,,,1,0
JlXCrEyBY7g,They thought i was hacking,"Sep 16, 2021",16,,,,2,0
KXxnTknAU2A,Everything You Need To Know Before You Play The MW2 Beta,"Sep 24, 2022",392,,,,1,0
LkFgBg73NmQ,Call Of Duty! Mini Montage!,"May 18, 2020",143,,,,1,0
N1k_vE_7CDI,Relaxing 20 Kill Game! Kar98k Warzone,"Jun 29, 2021",896,,,,1,0
PCogGJmujZ8,The Spr Is the best Sniper In WARZONE! Call Of Duty Warzone!,"Dec 5, 2020",614,,,,2,0
QAeJqW7iP-w,Killing Cheaters,"Jan 26, 2022",12,,,,5,0
R-Wa4pDfxpg,Somebody was Walling?,"May 27, 2024",21,,,,1,0
SLvNpvebH_k,Close Range MCW META Class Setup! Rebirth Island!😍,"Jul 15, 2024",1296,,,,1,0
SsKqzNpKHK8,Get Better Aim In Call Of Duty! Koovac Week 3 Experiment!,"May 13, 2020",253,,,,7,0
Su0-k3ZcwYQ,The SECRET to high KILL GAMES,"Jun 28, 2022",29,,,,10,0
TQvF2bws7mE,From Bot to PRO in Dragonball sparking zero Ranked Play,"Oct 21, 2024",978,,,,2,0
TTnOgtJ0siE,Warzone small edit,"Oct 5, 2021",13,,,,3,0
UjXf81y-xwo,This guy cant be serious,"May 20, 2024",21,,,,1,0
Uqys8dUvJWs,Hear 1 Kill Clips Go Viral,"Jan 20, 2022",8,,,,1,0
V3R-wcS4YN4,My Favorite CLOWN!,"Mar 4, 2022",12,,,,1,0
VHgelfjmd9g,Stormtrooper Aim!,"Sep 6, 2022",37,,,,3,0
Vfv62OUJ7mM,Getting High Grades as A Lazy Student,"Jun 6, 2025",698,,,,8,0
W8Vp2AqBHyI,Thats a Big Dog! 🐶 Black Myth Wukong Gameplay,"Sep 13, 2024",5159,,,,1,0
XyO-99hag_E,Its Always Something,"Feb 21, 2022",11,,,,3,0
Y9o9opoZ-_4,The Yellow Flash,"Jan 18, 2022",9,,,,1,0
Y_ERginS3pM,Slow down the pace of your gunfights,"Sep 14, 2021",15,,,,4,0
